threshold,samples,pixels,tp,fp,fn,tn,dice,iou,precision,recall,specificity
0.3,150,22118400,3323286,425199,516977,17852938,0.8758456599164991,0.7791151345387727,0.8865677733804487,0.8653797929985559,0.9767372900203124
0.35,150,22118400,3294343,385110,545920,17893027,0.8761881432756253,0.7796573225606408,0.8953349859340534,0.857843069602268,0.9789305660637078
0.4,150,22118400,3263496,348693,576767,17929444,0.8758180529039318,0.7790714440543234,0.903467675694713,0.8498105468297392,0.9809229463593583
0.45,150,22118400,3229641,315655,610622,17962482,0.8745826822316378,0.7771185571996422,0.9109651211069566,0.8409947443703767,0.9827304609873535
0.5,150,22118400,3192272,285720,647991,17992417,0.8724134373563114,0.7736997462180583,0.9178491497392772,0.8312639004151583,0.9843682099548767
0.55,150,22118400,3151247,257483,689016,18020654,0.869430278108975,0.7690196024839078,0.9244636565524426,0.8205810383299316,0.9859130610521193
0.6,150,22118400,3105326,230850,734937,18047287,0.8654225305893374,0.7627707705485021,0.9308040103399842,0.8086232635629432,0.9873701570351509
0.65,150,22118400,3053003,204179,787260,18073958,0.860310435656777,0.7548638353572692,0.9373142182414143,0.7949984154731122,0.9888293320046787
0.7,150,22118400,2989159,176884,851104,18101253,0.8532767481180547,0.7440999794132567,0.9441308914629415,0.7783735124391278,0.990322646120882
