epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.3539243211150169,0.2558003609117709,0.8473254473585832,0.7599395168455023,0.8980763931023447,0.8504627284250761
2,0.18438103887438775,0.1808271788452801,0.8463884246976752,0.7593272046038979,0.8401689686273274,0.9103133835290608
3,0.13840268218517304,0.166391059756279,0.8541347666790611,0.7705998263861004,0.8903690294215554,0.8712225305406671
4,0.11438929435610772,0.15371864661574364,0.8721198565081546,0.7920326684650622,0.9052422046661377,0.881160955680044
5,0.10216626054048539,0.16715980595663973,0.8639351411869651,0.7847479738687214,0.9124781708968314,0.8668821046226903
6,0.09143250489234925,0.1602332517504692,0.8612071903128373,0.7805301766646536,0.9240172254411798,0.8473999531645524
7,0.087353490665555,0.16199452057480812,0.8650582871939007,0.7849365378680982,0.9263999587611148,0.8529305552181444
8,0.0831161532998085,0.15009417502503647,0.8690989676274752,0.788752091558356,0.9222320035884255,0.8603135127770273
9,0.08148275619745254,0.15010326845865501,0.8673436704434847,0.78545701190045,0.9291734162129854,0.8471157425328305
10,0.07715433464944363,0.1837665072005046,0.8567200805011549,0.7756403935583014,0.9245091927678961,0.8461264340501082
11,0.07300408734381199,0.1652755935333277,0.8684726828023007,0.7909752757925737,0.9205830379536277,0.8633950164443568
12,0.07301062294840813,0.16148705564831434,0.8626433140353152,0.7803383375469007,0.9301890323036596,0.8436924093648007
13,0.07242863322794438,0.17404507571145109,0.8590191508594313,0.7769568154686376,0.932428523113853,0.8385073699449238
14,0.06824973836541176,0.1768749313134896,0.8675771763450221,0.7880339120563707,0.93467567782653,0.8490279379643892
