epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1
1,0.39317955446243286,0.26770919958750405,0.8277312183380127,0.7351122482617696,0.8259456205368042,0.8910722160339355,0.9532766183217366,0.36058467427889507
2,0.20660697913169862,0.18905691067377725,0.8396781349182129,0.7525338053703308,0.8301656325658162,0.9147569020589192,0.9587097843488057,0.4007668646176656
3,0.1513322253227234,0.1759150536855062,0.8397054354349772,0.7504121859868368,0.8710967254638672,0.869712282816569,0.9659394931793213,0.4100469116369883
4,0.12176882839202881,0.17615577936172486,0.8409951814015706,0.7560000777244568,0.8973727869987488,0.8510216689109802,0.9716102393468221,0.4341692984104156
5,0.10702661275863648,0.1607025702794393,0.8443057457605998,0.7615256222089132,0.8839185873667399,0.8658739161491394,0.9701300128300985,0.43587579488754274
6,0.09708859467506409,0.13806757926940919,0.8542490800221761,0.7651439015070597,0.8484550460179647,0.9074575821558635,0.9669079343477885,0.38414342403411866
7,0.08800485706329346,0.14400153636932372,0.8566754508018494,0.7712642590204875,0.8845718971888225,0.8776694917678833,0.9726862414677938,0.44184861143430076
8,0.08293505215644836,0.14112537622451782,0.8647760152816772,0.7831521002451579,0.9008361943562826,0.8725507497787476,0.9811378526687622,0.49449431737264
9,0.0810242269039154,0.14053024212519327,0.8641576965649923,0.7816520992914836,0.9028232971827189,0.8717515961329142,0.9771668338775634,0.49189489682515464
10,0.07758921670913696,0.13944978396097818,0.8631525135040283,0.778792519569397,0.8982881275812785,0.8734550865491232,0.9736030745506287,0.4653947067260742
11,0.07328606033325195,0.13438226064046224,0.8638836526870728,0.7793774429957072,0.8876629050572713,0.8861749362945557,0.9769106769561767,0.46534485220909116
12,0.07189771318435668,0.13302276770273844,0.8677484997113546,0.7848097085952759,0.8944903286298116,0.8835024992624919,0.9772264782587687,0.49129727999369305
13,0.07115915417671204,0.1386910629272461,0.8608744184176127,0.7762092049916586,0.8900003178914389,0.8786923034985861,0.9769196136792501,0.466327121257782
14,0.06751012659072876,0.12840468645095826,0.8669849061965942,0.7837389930089315,0.881743667125702,0.8954236634572347,0.9712758255004883,0.4769823284943899
15,0.06649626755714416,0.1294830306371053,0.8664206043879191,0.7815732256571452,0.8830504743258158,0.8913649956385294,0.9720470666885376,0.4630942559242249
16,0.06501711082458496,0.13582814852396646,0.8690743199984232,0.787039213180542,0.9090392025311788,0.8703181942303976,0.9750824268658956,0.5030720297495525
17,0.06414053916931152,0.13051026980082195,0.8688230355580647,0.7856881348292033,0.8938031522432963,0.8847859970728557,0.9746977853775024,0.4917829549312592
18,0.06429983592033386,0.13057891368865968,0.8668684649467469,0.7829297685623169,0.8876675240198771,0.8879975795745849,0.9730836232503255,0.4776615047454834
19,0.06369517660140991,0.13085898876190186,0.8673878113428751,0.7835556157430013,0.8902036452293396,0.8859422818819682,0.9733743365605673,0.48049240668614707
20,0.06421208000183105,0.1317311096191406,0.8674326427777608,0.7838240758577982,0.8928594017028808,0.8835104910532633,0.9745155366261801,0.48316636284192405
