epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1,val_composite,gradient_norm
1,0.10823586524471523,0.06187173377809716,0.9467589875128756,0.9063081378522126,0.9612485118534254,0.9422560489696005,0.9894198890912493,0.7327033235476568,0.893245071521571,0.7034927761495704
2,0.09491908926187934,0.0625523523517875,0.9459020042897865,0.904798510281936,0.965414339084689,0.9365393062897749,0.9904084859484414,0.7291239815013465,0.8917074985926765,0.5152255592517333
3,0.09253468101097743,0.06360296487658718,0.9447345267171445,0.9027378632870805,0.9676825872631775,0.9321767633973954,0.9907598411757811,0.7223577922004522,0.8891403430879714,0.5128903516964747
4,0.08851099510781754,0.06479990074915631,0.9434420910966037,0.9004427497602226,0.9689719609193579,0.9285871061592995,0.9909619112875948,0.7144530166351676,0.8861948224812447,0.4053315708395278
5,0.08514308946888773,0.06593140539865829,0.942325503730455,0.8984416220897815,0.9697130619482851,0.9258545027130025,0.9911011206266473,0.7068676505997827,0.883461040447787,0.4237485550122686
6,0.08398687101551669,0.06721054732699856,0.9408037792081418,0.8958363289817121,0.9698681372862595,0.9230388530520691,0.9909926274149713,0.6974353413518057,0.8799616697440578,0.45062040777342155
7,0.07842984864425719,0.06838254344004852,0.9390478485005357,0.8934784996070989,0.9692400374938812,0.9212439937336389,0.9905405291745495,0.6913941654074551,0.8771344277272656,0.37944133465390395
8,0.08118721168415703,0.06932405392362123,0.9380865543582367,0.8919577682297365,0.9687066032336309,0.9202034305968013,0.9901687395213838,0.6872935484484287,0.8753883028807847,0.4144174691179011
9,0.08009392078664854,0.06989218517639566,0.9377963383460922,0.8914970470511395,0.9677267513147565,0.9206941941111383,0.9896859367156906,0.6874062554493396,0.8751988176219041,0.42171023343459213
10,0.0759144805022853,0.07080711836749096,0.9370796560842457,0.8902609238656468,0.9672123666192377,0.9199466870779975,0.9893337478207107,0.6833644166439273,0.8736508462241661,0.3899215808009157
11,0.07327463035230512,0.07141737038126358,0.9365901329046906,0.8894543474334539,0.9663192069650095,0.9200058505686629,0.9889366790203745,0.6809869568084793,0.8726893388806378,0.38131402159976485
12,0.07152297890907593,0.07218508691492687,0.9357781840806023,0.8881297059681105,0.9655686752453296,0.9194117483486699,0.9885499937877209,0.6768961243804881,0.8710576691555738,0.3636269293873027
13,0.07266947875626098,0.0728386919011041,0.9352070314429676,0.8872428081904765,0.9647862998936886,0.9193143782807034,0.9882219489601544,0.6742203040266516,0.8699603495888886,0.4047383359163114
14,0.07260581983158414,0.0735144388416539,0.9348114844548663,0.886620908277888,0.9642721801298518,0.9192091649192632,0.9879312000944462,0.672165633244658,0.8691500216523143,0.3789911303337258
15,0.06880745817079269,0.0739783243615691,0.9345337921959102,0.8861829062369356,0.9631129006876993,0.9199433781231526,0.9873770587021691,0.6704603728642033,0.8685154373629834,0.3679336411601836
16,0.07069296706305764,0.07447433117839405,0.934058330330163,0.8854333895903367,0.9620126541641644,0.9203049486696122,0.9867622349971912,0.6676062586714193,0.8674453124154771,0.4105717389300318
17,0.0668654349341933,0.0750439722950642,0.9335795405716402,0.884593495955834,0.9615719256592434,0.9199144264128695,0.9865408703236277,0.6636338754242479,0.866093124284792,0.366497467502509
18,0.06734415431345986,0.07553038302572276,0.9332450901385534,0.8840045456503546,0.9615921089083056,0.9192918303818208,0.9865173968583046,0.6612801228877294,0.8652538483258474,inf
19,0.06757559458398246,0.07586605463139588,0.9329751414997521,0.8835420321461349,0.9612198882677084,0.9191998711796509,0.9862693384738271,0.6592937572345288,0.8645547954334463,0.38028470625971805
20,0.0657159721349909,0.07611273371156642,0.9328376726561964,0.8833096469923803,0.9611604381165776,0.9190185803633469,0.9862391219091255,0.6583509859831437,0.8642160009879332,0.35723184786810736
21,0.06641557398169208,0.07620314757859827,0.9329273505354406,0.8835102654619759,0.9603998356040904,0.9199750395522868,0.985930486068279,0.6590389782768428,0.8644552574707912,0.37127080615056623
22,0.06541958752628979,0.0764210342389086,0.9328182174210564,0.8833431164955216,0.9600391306207332,0.9201657197945892,0.9858043480876297,0.6584572600680451,0.8642279780828036,0.38424057483968166
23,0.06478599380968865,0.07662550960496117,0.9326693614988423,0.8831092541831792,0.9592215610188385,0.9207345323020399,0.9854302446180363,0.6575264480201696,0.8638836331291742,0.37423026628128375
24,0.06550314655342983,0.0768027737811457,0.9325392417684447,0.8829087764523101,0.958701287025592,0.9210443562488492,0.985216586486153,0.6565375025057075,0.8635388069527604,0.3647631856031937
25,0.06513106948945022,0.07703586077211692,0.932329544853606,0.882565188168682,0.9582267176347433,0.9211606833847071,0.985027317618048,0.6550694450885556,0.8630145199123433,0.38340490023688517
